	Year	Month	Categories	Number of Operations
149	2008	1	Total Flight Delay	148807
150	2009	1	Total Flight Delay	108656
151	2010	1	Total Flight Delay	96928
152	2011	1	Total Flight Delay	97078
153	2012	1	Total Flight Delay	70908
154	2013	1	Total Flight Delay	88210
155	2014	1	Total Flight Delay	119994
156	2015	1	Total Flight Delay	95951
157	2004	2	Total Flight Delay	114517
158	2005	2	Total Flight Delay	111897
159	2006	2	Total Flight Delay	118610
160	2007	2	Total Flight Delay	158435
161	2008	2	Total Flight Delay	156237
162	2009	2	Total Flight Delay	78087
163	2010	2	Total Flight Delay	95021
164	2011	2	Total Flight Delay	92709
165	2012	2	Total Flight Delay	58987
166	2013	2	Total Flight Delay	83565
167	2014	2	Total Flight Delay	101440
168	2015	2	Total Flight Delay	95179
169	2004	3	Total Flight Delay	104031
170	2005	3	Total Flight Delay	131384
171	2006	3	Total Flight Delay	135897
172	2007	3	Total Flight Delay	152689
173	2008	3	Total Flight Delay	157370
174	2009	3	Total Flight Delay	107408
175	2010	3	Total Flight Delay	100534
176	2011	3	Total Flight Delay	101542
177	2012	3	Total Flight Delay	86476
178	2013	3	Total Flight Delay	101743
179	2014	3	Total Flight Delay	102297
180	2015	3	Total Flight Delay	95452
181	2004	4	Total Flight Delay	93754
182	2005	4	Total Flight Delay	90137
183	2006	4	Total Flight Delay	118715
184	2007	4	Total Flight Delay	136991
185	2008	4	Total Flight Delay	122169
186	2009	4	Total Flight Delay	102681
187	2010	4	Total Flight Delay	73184
188	2011	4	Total Flight Delay	112528
189	2012	4	Total Flight Delay	63639
190	2013	4	Total Flight Delay	111306
191	2014	4	Total Flight Delay	91806
192	2015	4	Total Flight Delay	82247
193	2004	5	Total Flight Delay	121019
194	2005	5	Total Flight Delay	93619
195	2006	5	Total Flight Delay	122693
196	2007	5	Total Flight Delay	131298
197	2008	5	Total Flight Delay	120126
198	2009	5	Total Flight Delay	100688
199	2010	5	Total Flight Delay	100683
200	2011	5	Total Flight Delay	107145
201	2012	5	Total Flight Delay	80453
202	2013	5	Total Flight Delay	105278
203	2014	5	Total Flight Delay	104145
204	2015	5	Total Flight Delay	89645
205	2004	6	Total Flight Delay	148726
206	2005	6	Total Flight Delay	139742
207	2006	6	Total Flight Delay	150683
208	2007	6	Total Flight Delay	181502
209	2008	6	Total Flight Delay	164260
210	2009	6	Total Flight Delay	122886
211	2010	6	Total Flight Delay	120007
212	2011	6	Total Flight Delay	111137
213	2012	6	Total Flight Delay	94684
214	2013	6	Total Flight Delay	143184
215	2014	6	Total Flight Delay	129706
216	2015	6	Total Flight Delay	115742
217	2004	7	Total Flight Delay	135999
218	2005	7	Total Flight Delay	166767
219	2006	7	Total Flight Delay	150771
220	2007	7	Total Flight Delay	180319
221	2008	7	Total Flight Delay	140050
222	2009	7	Total Flight Delay	121429
223	2010	7	Total Flight Delay	122900
224	2011	7	Total Flight Delay	110478
225	2012	7	Total Flight Delay	121396
226	2013	7	Total Flight Delay	142559
227	2014	7	Total Flight Delay	117151
228	2015	7	Total Flight Delay	107627
229	2004	8	Total Flight Delay	123884
230	2005	8	Total Flight Delay	141431
231	2006	8	Total Flight Delay	140784
232	2007	8	Total Flight Delay	170851
233	2008	8	Total Flight Delay	120481
234	2009	8	Total Flight Delay	108382
235	2010	8	Total Flight Delay	97597
236	2011	8	Total Flight Delay	96632
237	2012	8	Total Flight Delay	104434
238	2013	8	Total Flight Delay	112650
239	2014	8	Total Flight Delay	105706
240	2015	8	Total Flight Delay	94113
241	2004	9	Total Flight Delay	75147
242	2005	9	Total Flight Delay	87235
243	2006	9	Total Flight Delay	127900
244	2007	9	Total Flight Delay	102383
245	2008	9	Total Flight Delay	71149
246	2009	9	Total Flight Delay	66762
247	2010	9	Total Flight Delay	72738
248	2011	9	Total Flight Delay	73512
249	2012	9	Total Flight Delay	77075
250	2013	9	Total Flight Delay	77134
251	2014	9	Total Flight Delay	81178
252	2015	9	Total Flight Delay	60061
253	2004	10	Total Flight Delay	108341
254	2005	10	Total Flight Delay	99904
255	2006	10	Total Flight Delay	153067
256	2007	10	Total Flight Delay	128977
257	2008	10	Total Flight Delay	73517
258	2009	10	Total Flight Delay	114549
259	2010	10	Total Flight Delay	82391
260	2011	10	Total Flight Delay	68219
261	2012	10	Total Flight Delay	86545
262	2013	10	Total Flight Delay	81338
263	2014	10	Total Flight Delay	92285
264	2015	10	Total Flight Delay	60079
265	2004	11	Total Flight Delay	113696
266	2005	11	Total Flight Delay	106543
267	2006	11	Total Flight Delay	126990
268	2007	11	Total Flight Delay	113680
269	2008	11	Total Flight Delay	81922
270	2009	11	Total Flight Delay	54740
271	2010	11	Total Flight Delay	83138
272	2011	11	Total Flight Delay	66279
273	2012	11	Total Flight Delay	63834
274	2013	11	Total Flight Delay	77352
275	2014	11	Total Flight Delay	84657
276	2015	11	Total Flight Delay	70571
277	2004	12	Total Flight Delay	154041
278	2005	12	Total Flight Delay	154090
279	2006	12	Total Flight Delay	157128
280	2007	12	Total Flight Delay	196759
281	2008	12	Total Flight Delay	168647
282	2009	12	Total Flight Delay	132020
283	2010	12	Total Flight Delay	129763
284	2011	12	Total Flight Delay	72613
285	2012	12	Total Flight Delay	106727
286	2013	12	Total Flight Delay	144958
287	2014	12	Total Flight Delay	110163
288	2015	12	Total Flight Delay	96772
289	2004	1	Air Carrier Delay	32476.12
290	2005	1	Air Carrier Delay	38760.56
291	2006	1	Air Carrier Delay	33748.89
292	2007	1	Air Carrier Delay	41988.66
293	2008	1	Air Carrier Delay	41120.34
294	2009	1	Air Carrier Delay	27090.45
295	2010	1	Air Carrier Delay	27565.26
296	2011	1	Air Carrier Delay	27941.69
297	2012	1	Air Carrier Delay	19751.64
298	2013	1	Air Carrier Delay	25380.09
299	2014	1	Air Carrier Delay	36148.44
300	2015	1	Air Carrier Delay	28267.23
301	2004	2	Air Carrier Delay	26755
302	2005	2	Air Carrier Delay	29474.6
303	2006	2	Air Carrier Delay	32310.75
304	2007	2	Air Carrier Delay	46118.77
305	2008	2	Air Carrier Delay	40454.19
306	2009	2	Air Carrier Delay	20349.33
307	2010	2	Air Carrier Delay	25639.77
308	2011	2	Air Carrier Delay	24790.45
309	2012	2	Air Carrier Delay	17904.23
310	2013	2	Air Carrier Delay	23290.33
311	2014	2	Air Carrier Delay	29193.69
312	2015	2	Air Carrier Delay	27635.04
313	2004	3	Air Carrier Delay	25760
314	2005	3	Air Carrier Delay	36290.37
315	2006	3	Air Carrier Delay	37965.18
316	2007	3	Air Carrier Delay	46821.47
317	2008	3	Air Carrier Delay	43776.14
318	2009	3	Air Carrier Delay	26972.89
319	2010	3	Air Carrier Delay	28794.32
320	2011	3	Air Carrier Delay	28200.64
321	2012	3	Air Carrier Delay	25564.02
322	2013	3	Air Carrier Delay	27907.62
323	2014	3	Air Carrier Delay	30754.82
324	2015	3	Air Carrier Delay	30094.13
325	2004	4	Air Carrier Delay	23687.14
326	2005	4	Air Carrier Delay	26410.87
327	2006	4	Air Carrier Delay	33286.24
328	2007	4	Air Carrier Delay	39201.96
329	2008	4	Air Carrier Delay	33646.65
330	2009	4	Air Carrier Delay	25733.11
331	2010	4	Air Carrier Delay	22747.35
332	2011	4	Air Carrier Delay	28790.24
333	2012	4	Air Carrier Delay	20399.69
334	2013	4	Air Carrier Delay	28352.74
335	2014	4	Air Carrier Delay	25834.27
336	2015	4	Air Carrier Delay	24683
337	2004	5	Air Carrier Delay	27718.61
338	2005	5	Air Carrier Delay	27116.74
339	2006	5	Air Carrier Delay	33604.77
340	2007	5	Air Carrier Delay	36452.54
341	2008	5	Air Carrier Delay	31014.36
342	2009	5	Air Carrier Delay	24928.25
343	2010	5	Air Carrier Delay	27323.45
344	2011	5	Air Carrier Delay	28493.34
345	2012	5	Air Carrier Delay	23782.99
346	2013	5	Air Carrier Delay	28141.11
347	2014	5	Air Carrier Delay	30156.04
348	2015	5	Air Carrier Delay	26388.3
349	2004	6	Air Carrier Delay	35700.07
350	2005	6	Air Carrier Delay	38249.91
351	2006	6	Air Carrier Delay	45051.1
352	2007	6	Air Carrier Delay	51284.66
353	2008	6	Air Carrier Delay	41260.54
354	2009	6	Air Carrier Delay	33104.42
355	2010	6	Air Carrier Delay	34714.67
356	2011	6	Air Carrier Delay	32258.62
357	2012	6	Air Carrier Delay	29611.72
358	2013	6	Air Carrier Delay	37461.68
359	2014	6	Air Carrier Delay	35477.04
360	2015	6	Air Carrier Delay	35128.13
361	2004	7	Air Carrier Delay	36633.11
362	2005	7	Air Carrier Delay	44619.28
363	2006	7	Air Carrier Delay	46795.3
364	2007	7	Air Carrier Delay	52307.24
365	2008	7	Air Carrier Delay	39546.97
366	2009	7	Air Carrier Delay	34397.59
367	2010	7	Air Carrier Delay	36332.03
368	2011	7	Air Carrier Delay	31966.85
369	2012	7	Air Carrier Delay	34433.46
370	2013	7	Air Carrier Delay	38675.08
371	2014	7	Air Carrier Delay	34323.7
372	2015	7	Air Carrier Delay	32664.27
373	2004	8	Air Carrier Delay	32262.7
374	2005	8	Air Carrier Delay	40534.52
375	2006	8	Air Carrier Delay	41366.27
376	2007	8	Air Carrier Delay	50258.88
377	2008	8	Air Carrier Delay	35661.47
378	2009	8	Air Carrier Delay	31007.69
379	2010	8	Air Carrier Delay	29346.68
380	2011	8	Air Carrier Delay	28600.35
381	2012	8	Air Carrier Delay	31332.15
382	2013	8	Air Carrier Delay	32586.52
383	2014	8	Air Carrier Delay	30522.99
384	2015	8	Air Carrier Delay	29043.78
385	2004	9	Air Carrier Delay	21722.48
386	2005	9	Air Carrier Delay	26816.2
387	2006	9	Air Carrier Delay	33557.33
388	2007	9	Air Carrier Delay	31517.26
389	2008	9	Air Carrier Delay	21720.65
390	2009	9	Air Carrier Delay	19847.44
391	2010	9	Air Carrier Delay	20968.62
392	2011	9	Air Carrier Delay	20902.35
393	2012	9	Air Carrier Delay	22817.26
394	2013	9	Air Carrier Delay	22732.16
395	2014	9	Air Carrier Delay	22648.28
396	2015	9	Air Carrier Delay	19044.26
397	2004	10	Air Carrier Delay	27532.47
398	2005	10	Air Carrier Delay	28196.37
399	2006	10	Air Carrier Delay	38779.14
400	2007	10	Air Carrier Delay	35459.42
401	2008	10	Air Carrier Delay	21402.17
402	2009	10	Air Carrier Delay	27996.91
403	2010	10	Air Carrier Delay	24199.2
404	2011	10	Air Carrier Delay	20336.61
405	2012	10	Air Carrier Delay	25585.18
406	2013	10	Air Carrier Delay	23875.24
407	2014	10	Air Carrier Delay	25005.4
408	2015	10	Air Carrier Delay	19578.66
409	2004	11	Air Carrier Delay	29384.92
410	2005	11	Air Carrier Delay	30630.96
411	2006	11	Air Carrier Delay	34196.83
412	2007	11	Air Carrier Delay	32646.15
413	2008	11	Air Carrier Delay	20333.02
414	2009	11	Air Carrier Delay	17287.44
415	2010	11	Air Carrier Delay	23883.64
416	2011	11	Air Carrier Delay	18967.92
417	2012	11	Air Carrier Delay	20815.64
418	2013	11	Air Carrier Delay	23316.06
419	2014	11	Air Carrier Delay	23981.88
420	2015	11	Air Carrier Delay	21543.5
421	2004	12	Air Carrier Delay	43944.83
422	2005	12	Air Carrier Delay	46126.64
423	2006	12	Air Carrier Delay	47154.87
424	2007	12	Air Carrier Delay	56539.58
425	2008	12	Air Carrier Delay	41664.36
426	2009	12	Air Carrier Delay	35027.18
427	2010	12	Air Carrier Delay	37569.45
428	2011	12	Air Carrier Delay	22047.48
429	2012	12	Air Carrier Delay	30682.24
430	2013	12	Air Carrier Delay	41488.12
431	2014	12	Air Carrier Delay	32541.39
432	2015	12	Air Carrier Delay	29383.56
433	2004	1	Weather Delay	7907.54
434	2005	1	Weather Delay	8202.75
435	2006	1	Weather Delay	5039.17
436	2007	1	Weather Delay	7031.83
437	2008	1	Weather Delay	5357.61
438	2009	1	Weather Delay	5083.91
439	2010	1	Weather Delay	3406.5
440	2011	1	Weather Delay	2951.02
441	2012	1	Weather Delay	2657.77
442	2013	1	Weather Delay	2792.01
443	2014	1	Weather Delay	5959.57
444	2015	1	Weather Delay	3311.58
445	2004	2	Weather Delay	5848.4
446	2005	2	Weather Delay	4773.6
447	2006	2	Weather Delay	4862.9
448	2007	2	Weather Delay	7810.05
449	2008	2	Weather Delay	6781.73
450	2009	2	Weather Delay	2090.65
451	2010	2	Weather Delay	3621.08
452	2011	2	Weather Delay	3133.58
453	2012	2	Weather Delay	1628
454	2013	2	Weather Delay	2619.08
455	2014	2	Weather Delay	3185.67
456	2015	2	Weather Delay	4580.42
457	2004	3	Weather Delay	3493.54
458	2005	3	Weather Delay	5427.3
459	2006	3	Weather Delay	4929.66
460	2007	3	Weather Delay	5114.39
461	2008	3	Weather Delay	5745.9
462	2009	3	Weather Delay	3463.87
463	2010	3	Weather Delay	2995.45
464	2011	3	Weather Delay	1684.98
465	2012	3	Weather Delay	2656.83
466	2013	3	Weather Delay	2621.12
467	2014	3	Weather Delay	1966.47
468	2015	3	Weather Delay	2348.12
469	2004	4	Weather Delay	3129.09
470	2005	4	Weather Delay	3401.33
471	2006	4	Weather Delay	4086.91
472	2007	4	Weather Delay	4320.84
473	2008	4	Weather Delay	3310.25
474	2009	4	Weather Delay	3702.37
475	2010	4	Weather Delay	1747.3
476	2011	4	Weather Delay	2804.14
477	2012	4	Weather Delay	1960.63
478	2013	4	Weather Delay	3015.98
479	2014	4	Weather Delay	1935.74
480	2015	4	Weather Delay	2772.98
481	2004	5	Weather Delay	6590.67
482	2005	5	Weather Delay	3765.82
483	2006	5	Weather Delay	4929.63
484	2007	5	Weather Delay	4827.75
485	2008	5	Weather Delay	3237.06
486	2009	5	Weather Delay	3401.92
487	2010	5	Weather Delay	3259.06
488	2011	5	Weather Delay	3551.65
489	2012	5	Weather Delay	3020.23
490	2013	5	Weather Delay	3212.35
491	2014	5	Weather Delay	2834.86
492	2015	5	Weather Delay	3639.07
493	2004	6	Weather Delay	9338.61
494	2005	6	Weather Delay	6782.53
495	2006	6	Weather Delay	7543.95
496	2007	6	Weather Delay	8955
497	2008	6	Weather Delay	6925.65
498	2009	6	Weather Delay	4630.26
499	2010	6	Weather Delay	4091.14
500	2011	6	Weather Delay	3529.58
501	2012	6	Weather Delay	2612.5
502	2013	6	Weather Delay	5730.93
503	2014	6	Weather Delay	4507.15
504	2015	6	Weather Delay	4362.28
505	2004	7	Weather Delay	6610.29
506	2005	7	Weather Delay	9527.63
507	2006	7	Weather Delay	7164.72
508	2007	7	Weather Delay	8536.13
509	2008	7	Weather Delay	6339.75
510	2009	7	Weather Delay	4320.66
511	2010	7	Weather Delay	4481.12
512	2011	7	Weather Delay	3520.75
513	2012	7	Weather Delay	4461.19
514	2013	7	Weather Delay	4361.41
515	2014	7	Weather Delay	3663.27
516	2015	7	Weather Delay	3246.54
517	2004	8	Weather Delay	6573.75
518	2005	8	Weather Delay	7231.91
519	2006	8	Weather Delay	6245.33
520	2007	8	Weather Delay	6724.55
521	2008	8	Weather Delay	5036.51
522	2009	8	Weather Delay	3912.54
523	2010	8	Weather Delay	2643.38
524	2011	8	Weather Delay	3808.9
525	2012	8	Weather Delay	2874.02
526	2013	8	Weather Delay	2754.72
527	2014	8	Weather Delay	3432.33
528	2015	8	Weather Delay	3453.29
529	2004	9	Weather Delay	3241.75
530	2005	9	Weather Delay	3157.29
531	2006	9	Weather Delay	5401.02
532	2007	9	Weather Delay	3335.62
533	2008	9	Weather Delay	2171.46
534	2009	9	Weather Delay	1897.5
535	2010	9	Weather Delay	2160.73
536	2011	9	Weather Delay	1790.13
537	2012	9	Weather Delay	1650.18
538	2013	9	Weather Delay	2064.41
539	2014	9	Weather Delay	1824.5
540	2015	9	Weather Delay	2021.54
541	2004	10	Weather Delay	5146.37
542	2005	10	Weather Delay	4048.48
543	2006	10	Weather Delay	5821.52
544	2007	10	Weather Delay	4017.85
545	2008	10	Weather Delay	1445.04
546	2009	10	Weather Delay	2768.31
547	2010	10	Weather Delay	1689.55
548	2011	10	Weather Delay	1322.86
549	2012	10	Weather Delay	1286.92
550	2013	10	Weather Delay	1171.89
551	2014	10	Weather Delay	1654.33
552	2015	10	Weather Delay	1166.03
553	2004	11	Weather Delay	5895.29
554	2005	11	Weather Delay	3895.45
555	2006	11	Weather Delay	4633.95
556	2007	11	Weather Delay	3073.99
557	2008	11	Weather Delay	1951.39
558	2009	11	Weather Delay	1044.2
559	2010	11	Weather Delay	1633.12
560	2011	11	Weather Delay	1222.84
561	2012	11	Weather Delay	1067.99
562	2013	11	Weather Delay	1557.64
563	2014	11	Weather Delay	2129.55
564	2015	11	Weather Delay	1985.02
565	2004	12	Weather Delay	7830.84
566	2005	12	Weather Delay	6467.69
567	2006	12	Weather Delay	5879.39
568	2007	12	Weather Delay	8558.88
569	2008	12	Weather Delay	8337.09
570	2009	12	Weather Delay	5548.98
571	2010	12	Weather Delay	4125.61
572	2011	12	Weather Delay	1642.61
573	2012	12	Weather Delay	2923.2
574	2013	12	Weather Delay	4915.47
575	2014	12	Weather Delay	1941.94
576	2015	12	Weather Delay	3149.84
577	2004	1	NAS Delay	53962.63
578	2005	1	NAS Delay	53315.67
579	2006	1	NAS Delay	40691.1
580	2007	1	NAS Delay	51816.21
581	2008	1	NAS Delay	50995.2
582	2009	1	NAS Delay	42787.24
583	2010	1	NAS Delay	33910.76
584	2011	1	NAS Delay	30251.08
585	2012	1	NAS Delay	24413.46
586	2013	1	NAS Delay	29175.97
587	2014	1	NAS Delay	31142.98
588	2015	1	NAS Delay	29878.63
589	2004	2	NAS Delay	49882.69
590	2005	2	NAS Delay	45484.89
591	2006	2	NAS Delay	44202.82
592	2007	2	NAS Delay	49955.22
593	2008	2	NAS Delay	53265.42
594	2009	2	NAS Delay	32121.79
595	2010	2	NAS Delay	33234.45
596	2011	2	NAS Delay	30678.15
597	2012	2	NAS Delay	19219.06
598	2013	2	NAS Delay	27469
599	2014	2	NAS Delay	29814.63
600	2015	2	NAS Delay	29530.35
601	2004	3	NAS Delay	43941.12
602	2005	3	NAS Delay	49332.46
603	2006	3	NAS Delay	47597.56
604	2007	3	NAS Delay	48670.17
605	2008	3	NAS Delay	52761.95
606	2009	3	NAS Delay	40615.54
607	2010	3	NAS Delay	33112.36
608	2011	3	NAS Delay	32416.17
609	2012	3	NAS Delay	26020.5
610	2013	3	NAS Delay	32640.37
611	2014	3	NAS Delay	28706.47
612	2015	3	NAS Delay	28283.47
613	2004	4	NAS Delay	39973.99
614	2005	4	NAS Delay	34262.11
615	2006	4	NAS Delay	40895.02
616	2007	4	NAS Delay	47409.91
617	2008	4	NAS Delay	46027.21
618	2009	4	NAS Delay	39818.77
619	2010	4	NAS Delay	23529.76
620	2011	4	NAS Delay	38365.46
621	2012	4	NAS Delay	17980.6
622	2013	4	NAS Delay	36241.43
623	2014	4	NAS Delay	27787.54
624	2015	4	NAS Delay	26000.96
625	2004	5	NAS Delay	52072.72
626	2005	5	NAS Delay	34716.65
627	2006	5	NAS Delay	42630.94
628	2007	5	NAS Delay	47298.93
629	2008	5	NAS Delay	46887.57
630	2009	5	NAS Delay	40266.25
631	2010	5	NAS Delay	34756.48
632	2011	5	NAS Delay	34733.92
633	2012	5	NAS Delay	24628.89
634	2013	5	NAS Delay	33564.67
635	2014	5	NAS Delay	30168.31
636	2015	5	NAS Delay	26555.12
637	2004	6	NAS Delay	57482.82
638	2005	6	NAS Delay	50167.31
639	2006	6	NAS Delay	45871.8
640	2007	6	NAS Delay	57463.92
641	2008	6	NAS Delay	61857.5
642	2009	6	NAS Delay	42867.34
643	2010	6	NAS Delay	36184.7
644	2011	6	NAS Delay	32034.99
645	2012	6	NAS Delay	25463.19
646	2013	6	NAS Delay	40690.36
647	2014	6	NAS Delay	37150.33
648	2015	6	NAS Delay	31691.81
649	2004	7	NAS Delay	49518.67
650	2005	7	NAS Delay	56824.97
651	2006	7	NAS Delay	44475.76
652	2007	7	NAS Delay	54799.24
653	2008	7	NAS Delay	48839.9
654	2009	7	NAS Delay	39981.97
655	2010	7	NAS Delay	35428.97
656	2011	7	NAS Delay	31132.06
657	2012	7	NAS Delay	33080.75
658	2013	7	NAS Delay	42275.96
659	2014	7	NAS Delay	32072.78
660	2015	7	NAS Delay	29068.14
661	2004	8	NAS Delay	45377.85
662	2005	8	NAS Delay	48696.04
663	2006	8	NAS Delay	44264.94
664	2007	8	NAS Delay	52783.15
665	2008	8	NAS Delay	40870.96
666	2009	8	NAS Delay	36550.16
667	2010	8	NAS Delay	28857.14
668	2011	8	NAS Delay	28110.52
669	2012	8	NAS Delay	28459.32
670	2013	8	NAS Delay	31869.1
671	2014	8	NAS Delay	31142.75
672	2015	8	NAS Delay	26605.48
673	2004	9	NAS Delay	29336.92
674	2005	9	NAS Delay	32368.96
675	2006	9	NAS Delay	48983.73
676	2007	9	NAS Delay	35330.74
677	2008	9	NAS Delay	27576.02
678	2009	9	NAS Delay	25112.18
679	2010	9	NAS Delay	25309.26
680	2011	9	NAS Delay	25164.84
681	2012	9	NAS Delay	24426.95
682	2013	9	NAS Delay	22541.33
683	2014	9	NAS Delay	28068.14
684	2015	9	NAS Delay	19332.35
685	2004	10	NAS Delay	43257.11
686	2005	10	NAS Delay	37765.65
687	2006	10	NAS Delay	59237.62
688	2007	10	NAS Delay	47530.67
689	2008	10	NAS Delay	28728.48
690	2009	10	NAS Delay	45289.41
691	2010	10	NAS Delay	26125.29
692	2011	10	NAS Delay	23222.68
693	2012	10	NAS Delay	27930.84
694	2013	10	NAS Delay	25131.65
695	2014	10	NAS Delay	31810.09
696	2015	10	NAS Delay	19783.91
697	2004	11	NAS Delay	44133.93
698	2005	11	NAS Delay	42320.68
699	2006	11	NAS Delay	48186.19
700	2007	11	NAS Delay	40998.64
701	2008	11	NAS Delay	34440.1
702	2009	11	NAS Delay	19899.03
703	2010	11	NAS Delay	28045.24
704	2011	11	NAS Delay	23422.31
705	2012	11	NAS Delay	17965.25
706	2013	11	NAS Delay	23113.57
707	2014	11	NAS Delay	27392.93
708	2015	11	NAS Delay	22636.54
709	2004	12	NAS Delay	52198.67
710	2005	12	NAS Delay	54125.42
711	2006	12	NAS Delay	49275.42
712	2007	12	NAS Delay	64201
713	2008	12	NAS Delay	57610.81
714	2009	12	NAS Delay	45335.07
715	2010	12	NAS Delay	38122.48
716	2011	12	NAS Delay	23162.46
717	2012	12	NAS Delay	30580.38
718	2013	12	NAS Delay	40134.5
719	2014	12	NAS Delay	33377.58
720	2015	12	NAS Delay	27317.73
721	2004	1	Security Delay	423.71
722	2005	1	Security Delay	397.69
723	2006	1	Security Delay	238.25
724	2007	1	Security Delay	347.57
725	2008	1	Security Delay	404.1
726	2009	1	Security Delay	209
727	2010	1	Security Delay	437.8
728	2011	1	Security Delay	346.28
729	2012	1	Security Delay	117.65
730	2013	1	Security Delay	182.66
731	2014	1	Security Delay	144.17
732	2015	1	Security Delay	148.22
733	2004	2	Security Delay	341.72
734	2005	2	Security Delay	214.43
735	2006	2	Security Delay	462.39
736	2007	2	Security Delay	416.4
737	2008	2	Security Delay	308.43
